sample_alias,experiment_alias,fastq_1,fastq_2,md5_1,md5_2
W15_SC_NANOS1_WT_OE_DOX,W15_SC_NANOS1_WT_OE_DOX__RNAseq_PE,WT_SCD_rep1_1.fq.gz,WT_SCD_rep1_2.fq.gz,,
W15_SC_NANOS1_WT_OE_DOX,W15_SC_NANOS1_WT_OE_DOX__RNAseq_PE,WT_SCD_rep2_1.fq.gz,WT_SCD_rep2_2.fq.gz,,
W15_SC_NANOS1_WT_OE_DOX,W15_SC_NANOS1_WT_OE_DOX__RNAseq_PE,WT_SCD_rep3_1.fq.gz,WT_SCD_rep3_2.fq.gz,,
W15_SC_NANOS1_WT_OE_noDOX,W15_SC_NANOS1_WT_OE_noDOX__RNAseq_PE,WT_SC_rep1_1.fq.gz,WT_SC_rep1_2.fq.gz,,
W15_SC_NANOS1_WT_OE_noDOX,W15_SC_NANOS1_WT_OE_noDOX__RNAseq_PE,WT_SC_rep2_1.fq.gz,WT_SC_rep2_2.fq.gz,,
W15_SC_NANOS1_WT_OE_noDOX,W15_SC_NANOS1_WT_OE_noDOX__RNAseq_PE,WT_SC_rep3_1.fq.gz,WT_SC_rep3_2.fq.gz,,
W15_SC_NANOS1_MUT_OE_DOX,W15_SC_NANOS1_MUT_OE_DOX__RNAseq_PE,MUT_SCD_rep1_1.fq.gz,MUT_SCD_rep1_2.fq.gz,,
W15_SC_NANOS1_MUT_OE_DOX,W15_SC_NANOS1_MUT_OE_DOX__RNAseq_PE,MUT_SCD_rep2_1.fq.gz,MUT_SCD_rep2_2.fq.gz,,
W15_SC_NANOS1_MUT_OE_DOX,W15_SC_NANOS1_MUT_OE_DOX__RNAseq_PE,MUT_SCD_rep3_1.fq.gz,MUT_SCD_rep3_2.fq.gz,,
W15_SC_NANOS1_MUT_OE_noDOX,W15_SC_NANOS1_MUT_OE_noDOX__RNAseq_PE,MUT_SC_rep1_1.fq.gz,MUT_SC_rep1_2.fq.gz,,
W15_SC_NANOS1_MUT_OE_noDOX,W15_SC_NANOS1_MUT_OE_noDOX__RNAseq_PE,MUT_SC_rep2_1.fq.gz,MUT_SC_rep2_2.fq.gz,,
W15_SC_NANOS1_MUT_OE_noDOX,W15_SC_NANOS1_MUT_OE_noDOX__RNAseq_PE,MUT_SC_rep3_1.fq.gz,MUT_SC_rep3_2.fq.gz,,
W15_SC_DOX,W15_SC_DOX__RNAseq_PE,W15_SCD_rep1_1.fq.gz,W15_SCD_rep1_2.fq.gz,,
W15_SC_DOX,W15_SC_DOX__RNAseq_PE,W15_SCD_rep2_1.fq.gz,W15_SCD_rep2_2.fq.gz,,
W15_SC_DOX,W15_SC_DOX__RNAseq_PE,W15_SCD_rep3_1.fq.gz,W15_SCD_rep3_2.fq.gz,,
W15_SC_noDOX,W15_SC_noDOX__RNAseq_PE,W15_SC_rep1_1.fq.gz,W15_SC_rep1_2.fq.gz,,
W15_SC_noDOX,W15_SC_noDOX__RNAseq_PE,W15_SC_rep2_1.fq.gz,W15_SC_rep2_2.fq.gz,,
W15_SC_noDOX,W15_SC_noDOX__RNAseq_PE,W15_SC_rep3_1.fq.gz,W15_SC_rep3_2.fq.gz,,
W15_PM_NANOS1_WT_OE_DOX,W15_PM_NANOS1_WT_OE_DOX__RNAseq_PE,WT_PMD_rep1_1.fq.gz,WT_PMD_rep1_2.fq.gz,,
W15_PM_NANOS1_WT_OE_DOX,W15_PM_NANOS1_WT_OE_DOX__RNAseq_PE,WT_PMD_rep2_1.fq.gz,WT_PMD_rep2_2.fq.gz,,
W15_PM_NANOS1_WT_OE_DOX,W15_PM_NANOS1_WT_OE_DOX__RNAseq_PE,WT_PMD_rep3_1.fq.gz,WT_PMD_rep3_2.fq.gz,,
W15_PM_NANOS1_WT_OE_noDOX,W15_PM_NANOS1_WT_OE_noDOX__RNAseq_PE,WT_PM_rep1_1.fq.gz,WT_PM_rep1_2.fq.gz,,
W15_PM_NANOS1_WT_OE_noDOX,W15_PM_NANOS1_WT_OE_noDOX__RNAseq_PE,WT_PM_rep2_1.fq.gz,WT_PM_rep2_2.fq.gz,,
W15_PM_NANOS1_WT_OE_noDOX,W15_PM_NANOS1_WT_OE_noDOX__RNAseq_PE,WT_PM_rep3_1.fq.gz,WT_PM_rep3_2.fq.gz,,
W15_PM_NANOS1_MUT_OE_DOX,W15_PM_NANOS1_MUT_OE_DOX__RNAseq_PE,MUT_PMD_rep1_1.fq.gz,MUT_PMD_rep1_2.fq.gz,,
W15_PM_NANOS1_MUT_OE_DOX,W15_PM_NANOS1_MUT_OE_DOX__RNAseq_PE,MUT_PMD_rep2_1.fq.gz,MUT_PMD_rep2_2.fq.gz,,
W15_PM_NANOS1_MUT_OE_DOX,W15_PM_NANOS1_MUT_OE_DOX__RNAseq_PE,MUT_PMD_rep3_1.fq.gz,MUT_PMD_rep3_2.fq.gz,,
W15_PM_NANOS1_MUT_OE_noDOX,W15_PM_NANOS1_MUT_OE_noDOX__RNAseq_PE,MUT_PM_rep1_1.fq.gz,MUT_PM_rep1_2.fq.gz,,
W15_PM_NANOS1_MUT_OE_noDOX,W15_PM_NANOS1_MUT_OE_noDOX__RNAseq_PE,MUT_PM_rep2_1.fq.gz,MUT_PM_rep2_2.fq.gz,,
W15_PM_NANOS1_MUT_OE_noDOX,W15_PM_NANOS1_MUT_OE_noDOX__RNAseq_PE,MUT_PM_rep3_1.fq.gz,MUT_PM_rep3_2.fq.gz,,
W15_PM_DOX,W15_PM_DOX__RNAseq_PE,W15_PMD_rep1_1.fq.gz,W15_PMD_rep1_2.fq.gz,,
W15_PM_DOX,W15_PM_DOX__RNAseq_PE,W15_PMD_rep2_1.fq.gz,W15_PMD_rep2_2.fq.gz,,
W15_PM_DOX,W15_PM_DOX__RNAseq_PE,W15_PMD_rep3_1.fq.gz,W15_PMD_rep3_2.fq.gz,,
W15_PM_noDOX,W15_PM_noDOX__RNAseq_PE,W15_PM_rep1_1.fq.gz,W15_PM_rep1_2.fq.gz,,
W15_PM_noDOX,W15_PM_noDOX__RNAseq_PE,W15_PM_rep2_1.fq.gz,W15_PM_rep2_2.fq.gz,,
W15_PM_noDOX,W15_PM_noDOX__RNAseq_PE,W15_PM_rep3_1.fq.gz,W15_PM_rep3_2.fq.gz,,
W15_PG_NANOS1_WT_OE_DOX,W15_PG_NANOS1_WT_OE_DOX__RNAseq_PE,WT_PGD_rep1_1.fq.gz,WT_PGD_rep1_2.fq.gz,,
W15_PG_NANOS1_WT_OE_DOX,W15_PG_NANOS1_WT_OE_DOX__RNAseq_PE,WT_PGD_rep2_1.fq.gz,WT_PGD_rep2_2.fq.gz,,
W15_PG_NANOS1_WT_OE_DOX,W15_PG_NANOS1_WT_OE_DOX__RNAseq_PE,WT_PGD_rep3_1.fq.gz,WT_PGD_rep3_2.fq.gz,,
W15_PG_NANOS1_WT_OE_noDOX,W15_PG_NANOS1_WT_OE_noDOX__RNAseq_PE,WT_PG_rep1_1.fq.gz,WT_PG_rep1_2.fq.gz,,
W15_PG_NANOS1_WT_OE_noDOX,W15_PG_NANOS1_WT_OE_noDOX__RNAseq_PE,WT_PG_rep2_1.fq.gz,WT_PG_rep2_2.fq.gz,,
W15_PG_NANOS1_WT_OE_noDOX,W15_PG_NANOS1_WT_OE_noDOX__RNAseq_PE,WT_PG_rep3_1.fq.gz,WT_PG_rep3_2.fq.gz,,
