sample_alias,experiment_alias,fastq_1,fastq_2,md5_1,md5_2
W15_SC_NANOS1_WT_OE_DOX,W15_SC_NANOS1_WT_OE_DOX__RNAseq_PE,WT_SCD_rep1_1.fq.gz,WT_SCD_rep1_2.fq.gz,2b1f3d6e65c745df1ddbf506d9194488,b1d22120ce1267619a2290928c94ce99
W15_SC_NANOS1_WT_OE_DOX,W15_SC_NANOS1_WT_OE_DOX__RNAseq_PE,WT_SCD_rep2_1.fq.gz,WT_SCD_rep2_2.fq.gz,d3581b7896c08e88b05809e817356dde,5322e786c6e831b430c263d83e56d7a4
W15_SC_NANOS1_WT_OE_DOX,W15_SC_NANOS1_WT_OE_DOX__RNAseq_PE,WT_SCD_rep3_1.fq.gz,WT_SCD_rep3_2.fq.gz,6d95c3868ef9f5ee1f3afe65660c66cb,f51053363c53ccf0e4ffe2ea15de3bb7
W15_SC_NANOS1_WT_OE_noDOX,W15_SC_NANOS1_WT_OE_noDOX__RNAseq_PE,WT_SC_rep1_1.fq.gz,WT_SC_rep1_2.fq.gz,8db16efc50f56ed62dd3171690e8a351,21289117a963216d6827502947902be2
W15_SC_NANOS1_WT_OE_noDOX,W15_SC_NANOS1_WT_OE_noDOX__RNAseq_PE,WT_SC_rep2_1.fq.gz,WT_SC_rep2_2.fq.gz,9276a445f164d5d9941bd6b1df292bb8,87a6aa42b3e8ddbc5eb6705e0b7acd3c
W15_SC_NANOS1_WT_OE_noDOX,W15_SC_NANOS1_WT_OE_noDOX__RNAseq_PE,WT_SC_rep3_1.fq.gz,WT_SC_rep3_2.fq.gz,bea96af68b33f0f4909df4705430ea45,ae720eb20917b1a68444a6b529666ae6
W15_SC_NANOS1_MUT_OE_DOX,W15_SC_NANOS1_MUT_OE_DOX__RNAseq_PE,MUT_SCD_rep1_1.fq.gz,MUT_SCD_rep1_2.fq.gz,240fcf247a6c4165e89be7f52db93a73,0cf478018d06b57a8d73499d17654811
W15_SC_NANOS1_MUT_OE_DOX,W15_SC_NANOS1_MUT_OE_DOX__RNAseq_PE,MUT_SCD_rep2_1.fq.gz,MUT_SCD_rep2_2.fq.gz,0ecf14068253bf997e35793b0f4567ce,626f8bbab92d73c226d401cb2f0b0cd4
W15_SC_NANOS1_MUT_OE_DOX,W15_SC_NANOS1_MUT_OE_DOX__RNAseq_PE,MUT_SCD_rep3_1.fq.gz,MUT_SCD_rep3_2.fq.gz,6ad4e5c1193b9f882e0c5ecae6656250,984860d42c17eb6818dc1d8597a5740f
W15_SC_NANOS1_MUT_OE_noDOX,W15_SC_NANOS1_MUT_OE_noDOX__RNAseq_PE,MUT_SC_rep1_1.fq.gz,MUT_SC_rep1_2.fq.gz,ffc7a1314e6f992e1bbb30fba5323482,2eb7b31555a38c3f9af8420b507980c2
W15_SC_NANOS1_MUT_OE_noDOX,W15_SC_NANOS1_MUT_OE_noDOX__RNAseq_PE,MUT_SC_rep2_1.fq.gz,MUT_SC_rep2_2.fq.gz,28585f41f9d72715a453fc5126e0cc46,c35ec1f5f40e7f88c7ed9c5ea1bb5e72
W15_SC_NANOS1_MUT_OE_noDOX,W15_SC_NANOS1_MUT_OE_noDOX__RNAseq_PE,MUT_SC_rep3_1.fq.gz,MUT_SC_rep3_2.fq.gz,791b4ed886b6ba6a3bba8381a23be445,629bd6cfae50fa97efdc3d1a84f84282
W15_SC_DOX,W15_SC_DOX__RNAseq_PE,W15_SCD_rep1_1.fq.gz,W15_SCD_rep1_2.fq.gz,68c5896bb2a59a77c2a385c48f3e9e6e,1ee2fd77013e0d7db07e0829f6d473f5
W15_SC_DOX,W15_SC_DOX__RNAseq_PE,W15_SCD_rep2_1.fq.gz,W15_SCD_rep2_2.fq.gz,eaefaa9a91b8b264bfb87531e30e0aa3,f95d42312ce9c84e570e082115b7b67b
W15_SC_DOX,W15_SC_DOX__RNAseq_PE,W15_SCD_rep3_1.fq.gz,W15_SCD_rep3_2.fq.gz,7cdccea0bc19ad99c676e0c83465a196,75b85fbd9812dded6ed4366d2a9bf458
W15_SC_noDOX,W15_SC_noDOX__RNAseq_PE,W15_SC_rep1_1.fq.gz,W15_SC_rep1_2.fq.gz,34474da1e1c9036617ee547fad162fd2,5aff13b9f908f65836af3a505f2dbb50
W15_SC_noDOX,W15_SC_noDOX__RNAseq_PE,W15_SC_rep2_1.fq.gz,W15_SC_rep2_2.fq.gz,1d560d30df3d861eb88c22457c6aa856,927b04e5d46852e75c48611ccbd28d6d
W15_SC_noDOX,W15_SC_noDOX__RNAseq_PE,W15_SC_rep3_1.fq.gz,W15_SC_rep3_2.fq.gz,4f65182cee5a01838bcfabb4536abf9c,e9b7c23eaa881f213ff01f05cfe9deee
W15_PM_NANOS1_WT_OE_DOX,W15_PM_NANOS1_WT_OE_DOX__RNAseq_PE,WT_PMD_rep1_1.fq.gz,WT_PMD_rep1_2.fq.gz,61896a16462e432a621288ea91b80a53,906c62fa4e29a0c393ebb8d11ebc7bd1
W15_PM_NANOS1_WT_OE_DOX,W15_PM_NANOS1_WT_OE_DOX__RNAseq_PE,WT_PMD_rep2_1.fq.gz,WT_PMD_rep2_2.fq.gz,58f7679bffd0e3b3b1e1a7c05cbd425a,4779dfb007ff262b7160564f58a27805
W15_PM_NANOS1_WT_OE_DOX,W15_PM_NANOS1_WT_OE_DOX__RNAseq_PE,WT_PMD_rep3_1.fq.gz,WT_PMD_rep3_2.fq.gz,8f4350e027f03f0e96b95991e41a20c6,7a89cf3354c32ba20e172218311789ad
W15_PM_NANOS1_WT_OE_noDOX,W15_PM_NANOS1_WT_OE_noDOX__RNAseq_PE,WT_PM_rep1_1.fq.gz,WT_PM_rep1_2.fq.gz,57bcf56ebb8b86e4b8a811ae49c3c775,7d7cda3767f40e4afb98d95e67501e27
W15_PM_NANOS1_WT_OE_noDOX,W15_PM_NANOS1_WT_OE_noDOX__RNAseq_PE,WT_PM_rep2_1.fq.gz,WT_PM_rep2_2.fq.gz,e531b5fff070e63f1010a648a2886712,d31cf413260913ae54689c099f97e4fe
W15_PM_NANOS1_WT_OE_noDOX,W15_PM_NANOS1_WT_OE_noDOX__RNAseq_PE,WT_PM_rep3_1.fq.gz,WT_PM_rep3_2.fq.gz,77f6684105543c92b80dcd0c48f757c0,4ee83715d3b13a1104185b8a9f6385c3
W15_PM_NANOS1_MUT_OE_DOX,W15_PM_NANOS1_MUT_OE_DOX__RNAseq_PE,MUT_PMD_rep1_1.fq.gz,MUT_PMD_rep1_2.fq.gz,6904cb47809557cda08705fcdfae9c70,febec5b42eaad7745e1e899cc68cc268
W15_PM_NANOS1_MUT_OE_DOX,W15_PM_NANOS1_MUT_OE_DOX__RNAseq_PE,MUT_PMD_rep2_1.fq.gz,MUT_PMD_rep2_2.fq.gz,84346a378bf4b7f05b8e1a48d684bc56,d101fd329714294a4b736e581186bf3b
W15_PM_NANOS1_MUT_OE_DOX,W15_PM_NANOS1_MUT_OE_DOX__RNAseq_PE,MUT_PMD_rep3_1.fq.gz,MUT_PMD_rep3_2.fq.gz,436c273b3b7514b75258e0326b1f75fd,ef44c10044fda02c2913270ecb4b486f
W15_PM_NANOS1_MUT_OE_noDOX,W15_PM_NANOS1_MUT_OE_noDOX__RNAseq_PE,MUT_PM_rep1_1.fq.gz,MUT_PM_rep1_2.fq.gz,d12ae1aaffe00df29a0fef4f79901f05,dbe516199975ab1b564f6befdf7a8b54
W15_PM_NANOS1_MUT_OE_noDOX,W15_PM_NANOS1_MUT_OE_noDOX__RNAseq_PE,MUT_PM_rep2_1.fq.gz,MUT_PM_rep2_2.fq.gz,2f014303087dbc34820641908be8a3a1,b34577a8292033c83631b757224daa67
W15_PM_NANOS1_MUT_OE_noDOX,W15_PM_NANOS1_MUT_OE_noDOX__RNAseq_PE,MUT_PM_rep3_1.fq.gz,MUT_PM_rep3_2.fq.gz,eff8555255f0db0ddd94faadbacc0bda,c6186e551e831c5bd8695e3fba31afb6
W15_PM_DOX,W15_PM_DOX__RNAseq_PE,W15_PMD_rep1_1.fq.gz,W15_PMD_rep1_2.fq.gz,994770880b90e0bfc7ed438ca5f72df7,6186e3a0c05f0839134e8ee8816103c2
W15_PM_DOX,W15_PM_DOX__RNAseq_PE,W15_PMD_rep2_1.fq.gz,W15_PMD_rep2_2.fq.gz,f334b94ffcfafb20bf81bc2ac54af7e5,0abc973778917be7cacbac212f118324
W15_PM_DOX,W15_PM_DOX__RNAseq_PE,W15_PMD_rep3_1.fq.gz,W15_PMD_rep3_2.fq.gz,4692fea1f962985c066400f6d65d446c,b92833eba4a1fc3a673acce269e28eea
W15_PM_noDOX,W15_PM_noDOX__RNAseq_PE,W15_PM_rep1_1.fq.gz,W15_PM_rep1_2.fq.gz,2d10a2f275b8034894944dcf4431b33f,9e6d957facd6d03f70d4cf258ade4d99
W15_PM_noDOX,W15_PM_noDOX__RNAseq_PE,W15_PM_rep2_1.fq.gz,W15_PM_rep2_2.fq.gz,f5fd3a0c8b170eb88a7fe1962fb51743,284daa9273a45f78eba9d19709cdb27d
W15_PM_noDOX,W15_PM_noDOX__RNAseq_PE,W15_PM_rep3_1.fq.gz,W15_PM_rep3_2.fq.gz,75a5f2c74af265f822897f7d0a3b9286,366135073478afb2dcc585b3674c53e1
W15_PG_NANOS1_WT_OE_DOX,W15_PG_NANOS1_WT_OE_DOX__RNAseq_PE,WT_PGD_rep1_1.fq.gz,WT_PGD_rep1_2.fq.gz,4305e3b76dd8727b53bd1a3a3f82d207,b937b492bdea71a855d5c6c679271adc
W15_PG_NANOS1_WT_OE_DOX,W15_PG_NANOS1_WT_OE_DOX__RNAseq_PE,WT_PGD_rep2_1.fq.gz,WT_PGD_rep2_2.fq.gz,5a5dc1bb279800d623ddb83d33ea44d9,11b630de90972b573db0d55e25d13f10
W15_PG_NANOS1_WT_OE_noDOX,W15_PG_NANOS1_WT_OE_noDOX__RNAseq_PE,WT_PG_rep1_1.fq.gz,WT_PG_rep1_2.fq.gz,63ecaf9c4bec8cb449c99c7a3d2bc21b,0f7b79a694737ac66652f6081950bbe4
W15_PG_NANOS1_WT_OE_noDOX,W15_PG_NANOS1_WT_OE_noDOX__RNAseq_PE,WT_PG_rep2_1.fq.gz,WT_PG_rep2_2.fq.gz,cc2197f72a9f6a004852eb8cdc9a73c5,f97445e9861c534cecc002d38037500b
W15_PG_NANOS1_MUT_OE_DOX,W15_PG_NANOS1_MUT_OE_DOX__RNAseq_PE,MUT_PGD_rep1_1.fq.gz,MUT_PGD_rep1_2.fq.gz,08d2d7677ddba3258f6ea970ddbd4b96,69004466839b60fe8e0f2faacedd85c3
W15_PG_NANOS1_MUT_OE_DOX,W15_PG_NANOS1_MUT_OE_DOX__RNAseq_PE,MUT_PGD_rep2_1.fq.gz,MUT_PGD_rep2_2.fq.gz,0a8a1c0d064e31c3d4e369a47677f11f,00a410b7eded16edf18809524d064555
W15_PG_NANOS1_MUT_OE_DOX,W15_PG_NANOS1_MUT_OE_DOX__RNAseq_PE,MUT_PGD_rep3_1.fq.gz,MUT_PGD_rep3_2.fq.gz,31d9145b03f8d142d90c2f023f827b33,065d4d8ac0b9bc2193bb1ce65edb1a65
W15_PG_NANOS1_MUT_OE_DOX,W15_PG_NANOS1_MUT_OE_DOX__RNAseq_PE,MUT_PGD_rep4_1.fq.gz,MUT_PGD_rep4_2.fq.gz,4cfbbfb29286681d5883653946ce74b2,587ea9df7d6f46019f88cb75724b44fc
