sample_alias,experiment_alias
W15_SC_NANOS1_WT_OE_DOX,W15_SC_NANOS1_WT_OE_DOX__RNAseq_PE
W15_SC_NANOS1_WT_OE_noDOX,W15_SC_NANOS1_WT_OE_noDOX__RNAseq_PE
W15_SC_NANOS1_MUT_OE_DOX,W15_SC_NANOS1_MUT_OE_DOX__RNAseq_PE
W15_SC_NANOS1_MUT_OE_noDOX,W15_SC_NANOS1_MUT_OE_noDOX__RNAseq_PE
W15_SC_DOX,W15_SC_DOX__RNAseq_PE
W15_SC_noDOX,W15_SC_noDOX__RNAseq_PE
W15_PM_NANOS1_WT_OE_DOX,W15_PM_NANOS1_WT_OE_DOX__RNAseq_PE
W15_PM_NANOS1_WT_OE_noDOX,W15_PM_NANOS1_WT_OE_noDOX__RNAseq_PE
W15_PM_NANOS1_MUT_OE_DOX,W15_PM_NANOS1_MUT_OE_DOX__RNAseq_PE
W15_PM_NANOS1_MUT_OE_noDOX,W15_PM_NANOS1_MUT_OE_noDOX__RNAseq_PE
W15_PM_DOX,W15_PM_DOX__RNAseq_PE
W15_PM_noDOX,W15_PM_noDOX__RNAseq_PE
W15_PG_NANOS1_WT_OE_DOX,W15_PG_NANOS1_WT_OE_DOX__RNAseq_PE
W15_PG_NANOS1_WT_OE_noDOX,W15_PG_NANOS1_WT_OE_noDOX__RNAseq_PE
W15_PG_NANOS1_MUT_OE_DOX,W15_PG_NANOS1_MUT_OE_DOX__RNAseq_PE
W15_PG_NANOS1_MUT_OE_noDOX,W15_PG_NANOS1_MUT_OE_noDOX__RNAseq_PE
W15_PG_DOX,W15_PG_DOX__RNAseq_PE
W15_PG_noDOX,W15_PG_noDOX__RNAseq_PE
W15_SO_NANOS1_WT_OE_DOX,W15_SO_NANOS1_WT_OE_DOX__RNAseq_PE
W15_SO_NANOS1_WT_OE_noDOX,W15_SO_NANOS1_WT_OE_noDOX__RNAseq_PE
W15_SO_NANOS1_MUT_OE_DOX,W15_SO_NANOS1_MUT_OE_DOX__RNAseq_PE
W15_SO_NANOS1_MUT_OE_noDOX,W15_SO_NANOS1_MUT_OE_noDOX__RNAseq_PE
W15_SO_DOX,W15_SO_DOX__RNAseq_PE
W15_SO_noDOX,W15_SO_noDOX__RNAseq_PE
